,CS_PropertyID,cluster,size,empl_gr,Rent_x_x,leasing_rate,stories,age,renovated,class_a,class_b,LEED,Energystar,green_rating,net,amenities,cd_total_07,hd_total07,total_dd_07,Precipitation,Gas_Costs,Electricity_Costs,cluster_rent,hd_total07_quantiles,cd_total_07_quantiles,Rent_y,Rent_x_y
0,379105,1,260300,2.22,38.56,91.39,14,16,0,1,0,0,1,1,0,1,4988,58,5046,42.57,0.0137,0.028999999999999998,36.78,<1000,4000-5000,23.406250000000004,27.394571428571435
1,1393348,84,340657,1.93,18.09,93.45,23,15,0,1,0,0,1,1,1,0,4854,0,4854,47.95,0.0289,0.0628,18.85,<1000,4000-5000,23.406250000000004,27.394571428571435
2,1440283,144,27100,1.93,9.0,100.0,6,106,0,0,1,1,0,1,0,0,4854,0,4854,47.95,0.0289,0.0628,18.12,<1000,4000-5000,23.406250000000004,27.394571428571435
3,379067,199,183999,2.22,18.0,97.87,7,20,1,1,0,0,1,1,0,1,4988,58,5046,42.57,0.0137,0.028999999999999998,17.25,<1000,4000-5000,23.406250000000004,27.394571428571435
4,378510,218,115310,2.22,19.0,100.0,4,4,0,1,0,0,1,1,0,0,4988,58,5046,42.57,0.0137,0.028999999999999998,17.75,<1000,4000-5000,23.406250000000004,27.394571428571435
5,5329242,233,143200,1.93,20.4,97.85,18,18,0,0,1,0,1,1,0,0,4854,0,4854,47.95,0.0289,0.0628,22.43,<1000,4000-5000,23.406250000000004,27.394571428571435
6,1516146,383,379336,1.93,28.5,100.0,30,11,0,1,0,0,1,1,0,0,4854,0,4854,47.95,0.0289,0.0628,19.39,<1000,4000-5000,23.406250000000004,27.394571428571435
7,379382,491,1153545,2.22,37.52,98.58,55,23,0,1,0,0,1,1,0,1,4988,58,5046,42.57,0.0137,0.028999999999999998,28.05,<1000,4000-5000,23.406250000000004,27.394571428571435
8,379520,531,677667,2.22,45.1,96.63,32,21,0,1,0,0,1,1,0,1,4988,58,5046,42.57,0.0137,0.028999999999999998,35.755,<1000,4000-5000,23.406250000000004,27.394571428571435
9,378536,947,60584,2.22,16.5,100.0,3,9,0,1,0,0,1,1,0,1,4988,58,5046,42.57,0.0137,0.028999999999999998,17.91,<1000,4000-5000,23.406250000000004,27.394571428571435
10,378551,955,90970,2.22,18.61,58.24,4,10,0,1,0,0,1,1,1,1,4988,58,5046,42.57,0.0137,0.028999999999999998,18.61,<1000,4000-5000,23.406250000000004,27.394571428571435
11,378542,959,93738,2.22,21.3,93.7,4,8,0,1,0,0,1,1,0,0,4988,58,5046,42.57,0.0137,0.028999999999999998,19.0,<1000,4000-5000,23.406250000000004,27.394571428571435
12,381788,1007,235000,2.22,19.43,88.69,18,20,1,1,0,0,1,1,1,1,4988,58,5046,42.57,0.0137,0.028999999999999998,23.985,<1000,4000-5000,23.406250000000004,27.394571428571435
13,378962,1012,225500,2.22,22.0,90.56,21,16,0,1,0,0,1,1,0,1,4988,58,5046,42.57,0.0137,0.028999999999999998,21.23,<1000,4000-5000,23.406250000000004,27.394571428571435
14,378642,1163,101836,2.22,18.0,86.11,6,23,0,1,0,0,1,1,0,0,4988,58,5046,42.57,0.0137,0.028999999999999998,18.0,<1000,4000-5000,23.406250000000004,27.394571428571435
15,431225,8,409889,67.78,30.5,97.06,20,6,0,1,0,0,1,1,0,0,5240,956,6196,10.46,0.012,0.0235,25.5,<1000,>5000,33.52384615384615,27.394571428571435
16,106570,244,177866,67.78,20.9,94.8,3,17,0,0,1,0,1,1,0,0,5240,956,6196,10.46,0.012,0.0235,26.785,<1000,>5000,33.52384615384615,27.394571428571435
17,224803,410,262875,67.78,31.0,88.76,3,22,0,1,0,0,1,1,0,1,5240,956,6196,10.46,0.012,0.0235,28.0,<1000,>5000,33.52384615384615,27.394571428571435
18,224643,418,205351,67.78,31.78,98.44,4,22,0,1,0,0,1,1,0,1,5240,956,6196,10.46,0.012,0.0235,27.865,<1000,>5000,33.52384615384615,27.394571428571435
19,233453,426,302209,67.78,31.94,94.76,8,7,0,1,0,0,1,1,0,0,5240,956,6196,10.46,0.012,0.0235,30.22,<1000,>5000,33.52384615384615,27.394571428571435
20,224576,430,418613,67.78,32.0,95.36,20,18,0,1,0,0,1,1,0,1,5240,956,6196,10.46,0.012,0.0235,23.25,<1000,>5000,33.52384615384615,27.394571428571435
21,224577,431,417446,67.78,32.0,90.78,20,17,0,1,0,0,1,1,0,1,5240,956,6196,10.46,0.012,0.0235,23.0,<1000,>5000,33.52384615384615,27.394571428571435
22,224599,484,288964,67.78,37.19,94.36,11,18,0,1,0,0,1,1,0,1,5240,956,6196,10.46,0.012,0.0235,28.5,<1000,>5000,33.52384615384615,27.394571428571435
23,224607,505,217500,67.78,40.0,98.64,10,10,0,1,0,0,1,1,0,0,5240,956,6196,10.46,0.012,0.0235,35.75,<1000,>5000,33.52384615384615,27.394571428571435
24,99800,961,73578,67.78,29.0,94.28,5,21,0,1,0,0,1,1,0,0,5240,956,6196,10.46,0.012,0.0235,29.0,<1000,>5000,33.52384615384615,27.394571428571435
25,224711,1053,196740,67.78,34.01,95.83,4,9,0,1,0,0,1,1,0,0,5240,956,6196,10.46,0.012,0.0235,30.0,<1000,>5000,33.52384615384615,27.394571428571435
26,224597,1084,230000,67.78,42.57,95.71,10,5,0,1,0,0,1,1,0,0,5240,956,6196,10.46,0.012,0.0235,32.5,<1000,>5000,33.52384615384615,27.394571428571435
27,224598,1085,206222,67.78,42.92,83.19,11,8,0,1,0,0,1,1,0,1,5240,956,6196,10.46,0.012,0.0235,32.5,<1000,>5000,33.52384615384615,27.394571428571435
28,86081,29,388325,4.72,23.0,76.82,22,22,0,1,0,0,1,1,0,1,3939,376,4315,42.57,0.0137,0.028999999999999998,20.49,<1000,3000-4000,21.90413043478261,27.394571428571435
29,380299,276,161683,4.72,22.26,94.13,3,22,0,0,1,0,1,1,0,0,3939,376,4315,42.57,0.0137,0.028999999999999998,22.26,<1000,3000-4000,21.90413043478261,27.394571428571435
30,380537,287,272714,4.72,23.0,92.93,19,26,0,1,0,0,1,1,0,1,3939,376,4315,42.57,0.0137,0.028999999999999998,19.105,<1000,3000-4000,21.90413043478261,27.394571428571435
31,382109,288,116723,4.72,23.0,50.07,6,22,0,1,0,0,1,1,0,0,3939,376,4315,42.57,0.0137,0.028999999999999998,18.0,<1000,3000-4000,21.90413043478261,27.394571428571435
32,380795,366,640741,3.71,27.23,87.95,30,19,0,1,0,0,1,1,0,1,3623,403,4026,42.57,0.0137,0.028999999999999998,24.0,<1000,3000-4000,21.90413043478261,27.394571428571435
33,380262,983,215523,4.72,27.0,91.15,10,21,0,1,0,0,1,1,0,1,3939,376,4315,42.57,0.0137,0.028999999999999998,21.5,<1000,3000-4000,21.90413043478261,27.394571428571435
34,380386,1022,254808,4.72,27.5,96.84,13,23,0,1,0,0,1,1,0,1,3939,376,4315,42.57,0.0137,0.028999999999999998,27.5,<1000,3000-4000,21.90413043478261,27.394571428571435
35,586222,78,390480,2.1,22.8,100.0,2,20,1,0,1,0,1,1,0,0,4607,1113,5720,22.71,0.0103,0.0378,16.2,1000-2000,4000-5000,23.406250000000004,32.45554858934167
36,197452,188,70069,2.1,17.37,100.0,4,15,0,1,0,0,1,1,0,0,4607,1113,5720,22.71,0.0103,0.0378,19.785,1000-2000,4000-5000,23.406250000000004,32.45554858934167
37,197382,226,68955,2.1,19.8,85.0,2,19,0,0,1,0,1,1,0,0,4607,1113,5720,22.71,0.0103,0.0378,21.24,1000-2000,4000-5000,23.406250000000004,32.45554858934167
38,197915,251,112791,2.1,21.42,100.0,6,18,0,1,0,0,1,1,0,0,4607,1113,5720,22.71,0.0103,0.0378,22.05,1000-2000,4000-5000,23.406250000000004,32.45554858934167
39,91917,969,72250,2.1,28.47,96.95,4,16,0,1,0,0,1,1,0,0,4607,1113,5720,22.71,0.0103,0.0378,24.215,1000-2000,4000-5000,23.406250000000004,32.45554858934167
40,196638,1017,103986,2.1,21.0,82.5,7,18,0,1,0,0,1,1,0,0,4607,1113,5720,22.71,0.0103,0.0378,21.0,1000-2000,4000-5000,23.406250000000004,32.45554858934167
41,197763,1018,112083,2.1,27.0,85.52,6,18,0,1,0,0,1,1,0,1,4607,1113,5720,22.71,0.0103,0.0378,27.0,1000-2000,4000-5000,23.406250000000004,32.45554858934167
42,197345,1167,38808,2.1,19.8,69.72,2,19,0,0,1,0,1,1,0,0,4607,1113,5720,22.71,0.0103,0.0378,21.24,1000-2000,4000-5000,23.406250000000004,32.45554858934167
43,201862,1211,145329,2.1,34.08,99.85,11,34,1,0,1,0,1,1,0,0,4607,1113,5720,22.71,0.0103,0.0378,18.0,1000-2000,4000-5000,23.406250000000004,32.45554858934167
44,236739,6,210038,4.01,12.5,94.33,11,38,0,0,1,0,1,1,0,1,2746,1670,4416,25.55,0.0101,0.0289,17.5,1000-2000,2000-3000,21.45463414634146,32.45554858934167
45,233899,34,1721242,4.01,27.75,77.16,71,24,0,1,0,0,1,1,0,1,2746,1670,4416,25.55,0.0101,0.0289,20.25,1000-2000,2000-3000,21.45463414634146,32.45554858934167
46,233985,41,371192,4.01,17.8,84.56,23,60,1,0,1,0,1,1,0,1,2746,1670,4416,25.55,0.0101,0.0289,18.05,1000-2000,2000-3000,21.45463414634146,32.45554858934167
